----------------------------------------------
fp32-fp32-batch1_deit_small_distilled_patch16_224
----------------------------------------------
Processing 276 / 50000 : Top-1 79.3% , Top-5: 96.4%     
Processing 277 / 50000 : Top-1 79.4% , Top-5: 96.4%     
Processing 278 / 50000 : Top-1 79.5% , Top-5: 96.4%     
Processing 279 / 50000 : Top-1 79.6% , Top-5: 96.4%     
Processing 280 / 50000 : Top-1 79.6% , Top-5: 96.4%     
Processing 281 / 50000 : Top-1 79.7% , Top-5: 96.4%     
Processing 282 / 50000 : Top-1 79.4% , Top-5: 96.5%     
Processing 283 / 50000 : Top-1 79.5% , Top-5: 96.5%     
Processing 284 / 50000 : Top-1 79.6% , Top-5: 96.5%     
Processing 285 / 50000 : Top-1 79.3% , Top-5: 96.5%     
Processing 286 / 50000 : Top-1 79.0% , Top-5: 96.2%     
Processing 287 / 50000 : Top-1 79.1% , Top-5: 96.2%     
Processing 288 / 50000 : Top-1 79.2% , Top-5: 96.2%     
Processing 289 / 50000 : Top-1 79.2% , Top-5: 96.2%     
Processing 290 / 50000 : Top-1 79.0% , Top-5: 96.2%     
Processing 291 / 50000 : Top-1 79.0% , Top-5: 96.2%     
Processing 292 / 50000 : Top-1 78.8% , Top-5: 96.2%     
Processing 293 / 50000 : Top-1 78.8% , Top-5: 96.2%     
Processing 294 / 50000 : Top-1 78.9% , Top-5: 96.3%     
Processing 295 / 50000 : Top-1 79.0% , Top-5: 96.3%     
Processing 296 / 50000 : Top-1 78.7% , Top-5: 96.3%     
Processing 297 / 50000 : Top-1 78.8% , Top-5: 96.3%     
Processing 298 / 50000 : Top-1 78.9% , Top-5: 96.3%     
Processing 299 / 50000 : Top-1 78.9% , Top-5: 96.3%     
Processing 300 / 50000 : Top-1 79.0% , Top-5: 96.3%     
Processing 301 / 50000 : Top-1 78.7% , Top-5: 96.0%     
Processing 302 / 50000 : Top-1 78.5% , Top-5: 96.0%     
Processing 303 / 50000 : Top-1 78.2% , Top-5: 96.0%     
Processing 304 / 50000 : Top-1 78.3% , Top-5: 96.1%     
Processing 305 / 50000 : Top-1 78.4% , Top-5: 96.1%     
Processing 306 / 50000 : Top-1 78.4% , Top-5: 96.1%     
Processing 307 / 50000 : Top-1 78.5% , Top-5: 96.1%     
Processing 308 / 50000 : Top-1 78.6% , Top-5: 96.1%     
Processing 309 / 50000 : Top-1 78.6% , Top-5: 96.1%     
Processing 310 / 50000 : Top-1 78.4% , Top-5: 95.8%     
Processing 311 / 50000 : Top-1 78.5% , Top-5: 95.8%     
Processing 312 / 50000 : Top-1 78.2% , Top-5: 95.8%     
Processing 313 / 50000 : Top-1 78.3% , Top-5: 95.8%     
Processing 314 / 50000 : Top-1 78.0% , Top-5: 95.9%     
Processing 315 / 50000 : Top-1 78.1% , Top-5: 95.9%     
Processing 316 / 50000 : Top-1 78.2% , Top-5: 95.9%     
Processing 317 / 50000 : Top-1 78.2% , Top-5: 95.9%     
Processing 318 / 50000 : Top-1 78.3% , Top-5: 95.9%     
Processing 319 / 50000 : Top-1 78.4% , Top-5: 95.9%     
Processing 320 / 50000 : Top-1 78.1% , Top-5: 95.9%     
Processing 321 / 50000 : Top-1 78.2% , Top-5: 96.0%     
Processing 322 / 50000 : Top-1 78.3% , Top-5: 96.0%     
Processing 323 / 50000 : Top-1 78.3% , Top-5: 96.0%     
Processing 324 / 50000 : Top-1 78.4% , Top-5: 96.0%     
Processing 325 / 50000 : Top-1 78.5% , Top-5: 96.0%     
Processing 326 / 50000 : Top-1 78.5% , Top-5: 96.0%     
Processing 327 / 50000 : Top-1 78.3% , Top-5: 96.0%     
Processing 328 / 50000 : Top-1 78.4% , Top-5: 96.0%     
Processing 329 / 50000 : Top-1 78.4% , Top-5: 96.0%     
Processing 330 / 50000 : Top-1 78.5% , Top-5: 96.1%     
Processing 331 / 50000 : Top-1 78.2% , Top-5: 95.8%     
Processing 332 / 50000 : Top-1 78.3% , Top-5: 95.8%     
Processing 333 / 50000 : Top-1 78.4% , Top-5: 95.8%     
Processing 334 / 50000 : Top-1 78.1% , Top-5: 95.8%     
Processing 335 / 50000 : Top-1 78.2% , Top-5: 95.8%     
Processing 336 / 50000 : Top-1 78.3% , Top-5: 95.8%     
Processing 337 / 50000 : Top-1 78.0% , Top-5: 95.8%     
Processing 338 / 50000 : Top-1 78.1% , Top-5: 95.9%     
Processing 339 / 50000 : Top-1 77.9% , Top-5: 95.6%     
Processing 340 / 50000 : Top-1 77.9% , Top-5: 95.6%     
Processing 341 / 50000 : Top-1 78.0% , Top-5: 95.6%     
Processing 342 / 50000 : Top-1 78.1% , Top-5: 95.6%     
Processing 343 / 50000 : Top-1 78.1% , Top-5: 95.6%     
Processing 344 / 50000 : Top-1 78.2% , Top-5: 95.6%     
Processing 345 / 50000 : Top-1 78.0% , Top-5: 95.7%     
Processing 346 / 50000 : Top-1 78.0% , Top-5: 95.7%     
Processing 347 / 50000 : Top-1 78.1% , Top-5: 95.7%     
Processing 348 / 50000 : Top-1 78.2% , Top-5: 95.7%     
Processing 349 / 50000 : Top-1 78.2% , Top-5: 95.7%     
Processing 350 / 50000 : Top-1 78.3% , Top-5: 95.7%     
Processing 351 / 50000 : Top-1 78.1% , Top-5: 95.7%     
Processing 352 / 50000 : Top-1 78.1% , Top-5: 95.7%     
Processing 353 / 50000 : Top-1 78.2% , Top-5: 95.8%     
Processing 354 / 50000 : Top-1 78.2% , Top-5: 95.8%     
Processing 355 / 50000 : Top-1 78.3% , Top-5: 95.8%     
Processing 356 / 50000 : Top-1 78.4% , Top-5: 95.8%     
Processing 357 / 50000 : Top-1 78.4% , Top-5: 95.8%     
Processing 358 / 50000 : Top-1 78.2% , Top-5: 95.5%     
Processing 359 / 50000 : Top-1 78.3% , Top-5: 95.5%     
Processing 360 / 50000 : Top-1 78.1% , Top-5: 95.6%     
Processing 361 / 50000 : Top-1 78.1% , Top-5: 95.6%     
Processing 362 / 50000 : Top-1 78.2% , Top-5: 95.6%     
Processing 363 / 50000 : Top-1 78.2% , Top-5: 95.6%     
Processing 364 / 50000 : Top-1 78.3% , Top-5: 95.6%     
Processing 365 / 50000 : Top-1 78.1% , Top-5: 95.6%     
Processing 366 / 50000 : Top-1 78.1% , Top-5: 95.6%     
Processing 367 / 50000 : Top-1 78.2% , Top-5: 95.6%     
Processing 368 / 50000 : Top-1 78.3% , Top-5: 95.7%     
Processing 369 / 50000 : Top-1 78.3% , Top-5: 95.7%     
Processing 370 / 50000 : Top-1 78.4% , Top-5: 95.7%     
Processing 371 / 50000 : Top-1 78.4% , Top-5: 95.7%     
Processing 372 / 50000 : Top-1 78.5% , Top-5: 95.7%     
Processing 373 / 50000 : Top-1 78.6% , Top-5: 95.7%     
Processing 374 / 50000 : Top-1 78.6% , Top-5: 95.7%     
Processing 375 / 50000 : Top-1 78.7% , Top-5: 95.7%     
Processing 376 / 50000 : Top-1 78.7% , Top-5: 95.7%     
Processing 377 / 50000 : Top-1 78.8% , Top-5: 95.8%     
Processing 378 / 50000 : Top-1 78.8% , Top-5: 95.8%     
Processing 379 / 50000 : Top-1 78.9% , Top-5: 95.8%     
Processing 380 / 50000 : Top-1 78.9% , Top-5: 95.8%     
Processing 381 / 50000 : Top-1 79.0% , Top-5: 95.8%     
Processing 382 / 50000 : Top-1 79.1% , Top-5: 95.8%     
Processing 383 / 50000 : Top-1 79.1% , Top-5: 95.8%     
Processing 384 / 50000 : Top-1 79.2% , Top-5: 95.8%     
Processing 385 / 50000 : Top-1 79.0% , Top-5: 95.8%     
Processing 386 / 50000 : Top-1 79.0% , Top-5: 95.9%     
Processing 387 / 50000 : Top-1 78.8% , Top-5: 95.9%     
Processing 388 / 50000 : Top-1 78.9% , Top-5: 95.9%     
Processing 389 / 50000 : Top-1 78.7% , Top-5: 95.9%     
Processing 390 / 50000 : Top-1 78.7% , Top-5: 95.9%     
Processing 391 / 50000 : Top-1 78.8% , Top-5: 95.9%     
Processing 392 / 50000 : Top-1 78.8% , Top-5: 95.9%     
Processing 393 / 50000 : Top-1 78.9% , Top-5: 95.9%     
Processing 394 / 50000 : Top-1 78.9% , Top-5: 95.9%     
Processing 395 / 50000 : Top-1 79.0% , Top-5: 95.9%     
Processing 396 / 50000 : Top-1 79.0% , Top-5: 96.0%     
Processing 397 / 50000 : Top-1 79.1% , Top-5: 96.0%     
Processing 398 / 50000 : Top-1 78.9% , Top-5: 96.0%     
Processing 399 / 50000 : Top-1 78.9% , Top-5: 96.0%     
Processing 400 / 50000 : Top-1 78.8% , Top-5: 96.0%     
Processing 401 / 50000 : Top-1 78.8% , Top-5: 96.0%     
Processing 402 / 50000 : Top-1 78.6% , Top-5: 96.0%     
Processing 403 / 50000 : Top-1 78.7% , Top-5: 96.0%     
Processing 404 / 50000 : Top-1 78.7% , Top-5: 96.0%     
Processing 405 / 50000 : Top-1 78.8% , Top-5: 96.0%     
